character_name,Item_Heal_MedKit,match_id,Item_Heal_FirstAid_C,Item_Heal_Bandage_C,Item_Boost_AdrenalineSyringe_C,Item_Boost_PainKiller_C,Item_Boost_EnergyDrink_C,Item_Weapon_Molotov_C,Item_Weapon_SmokeBomb_C,Item_Weapon_FlashBang_C,Item_Weapon_Grenade_C
17_Lilghost,,1,,,,,,,,,
17_SuJiu,,1,,,,,,,,,
17_Xbei,,1,,,,,,,,,
17_xwudd,,1,,,,,,,,,
4AM_CRAZY112,1.0,1,7.0,1.0,1.0,3.0,2.0,1.0,6.0,3.0,3.0
4AM_Summer,,1,5.0,1.0,,2.0,2.0,,6.0,3.0,5.0
4AM_WangZai,,1,,,,,,,,,
4AM_Xiaohaixxxx,1.0,1,4.0,1.0,,3.0,2.0,2.0,3.0,5.0,1.0
4AM_xxxLu,,1,5.0,1.0,,4.0,5.0,2.0,4.0,1.0,7.0
ACE_ItzzChrizZ,,1,5.0,,1.0,,3.0,3.0,2.0,5.0,
ACE_KILYAKAi,,1,5.0,4.0,,,8.0,2.0,4.0,3.0,3.0
ACE_Myca,,1,4.0,1.0,,,6.0,2.0,5.0,11.0,2.0
ACE_braex,,1,3.0,2.0,,2.0,6.0,1.0,6.0,2.0,2.0
CES_HaiSaki,,1,5.0,4.0,,2.0,5.0,,4.0,3.0,3.0
CES_Himass,,1,4.0,1.0,,3.0,5.0,2.0,4.0,2.0,2.0
CES_Taikonn,,1,,,,,,,,,
CES_YmCud,,1,4.0,3.0,,3.0,4.0,,10.0,5.0,2.0
DAY_Belmoth,,1,,,,,,,,,
DAY_Flash,,1,,,,,,,,,
DAY_Nourinz,,1,,,,,,,,,
DAY_PuuChiwz,,1,,,,,,,,,
DNW_Inonix,,1,,,,,,,,,
DNW_Loki,,1,,,,,,,,,
DNW_Salute,,1,,,,,,,,,
DNW_seoul,,1,,,,,,,,,
EXO_Akita,1.0,1,4.0,2.0,,3.0,9.0,5.0,8.0,7.0,5.0
EXO_Hikerman,,1,,,,,,,,,
EXO_Rain,,1,3.0,1.0,1.0,,7.0,2.0,6.0,4.0,1.0
EXO_empt,3.0,1,7.0,1.0,1.0,3.0,13.0,7.0,11.0,12.0,6.0
EXO_kang,1.0,1,3.0,,1.0,4.0,3.0,1.0,5.0,10.0,2.0
FaZe_Fexx,,1,,,,,,,,,
FaZe_Gustav,,1,,,,,,,,,
FaZe_curexi,,1,,,,,,,,,
FaZe_jeemzz,,1,,,,,,,,,
GBL_Glaz,,1,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0
GBL_Gyumin,1.0,1,4.0,1.0,,5.0,6.0,,4.0,4.0,3.0
GBL_Heaven,,1,5.0,,,4.0,5.0,1.0,5.0,2.0,3.0
GBL_Tosi,1.0,1,5.0,1.0,,4.0,4.0,1.0,3.0,2.0,6.0
GEN_DG98,,1,5.0,4.0,,2.0,2.0,2.0,4.0,4.0,1.0
GEN_Foxy,,1,6.0,,,1.0,4.0,1.0,3.0,1.0,2.0
GEN_Pio,1.0,1,4.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,6.0
GEN_taemin,,1,5.0,1.0,,1.0,4.0,2.0,4.0,2.0,1.0
GEX_Leo,,1,,,,,,,,,
GEX_Savior,,1,,,,,,,,,
GEX_Yuri,,1,,,,,,,,,
GEX_ZhenNan,,1,,,,,,,,,
HOWL_Apocalyp,,1,,,,,,,,,
HOWL_RuerN,,1,,,,,,,,,
HOWL_TheMad,,1,,,,,,,,,
HOWL_scof1eld,,1,,,,,,,,,
III_Adam,,1,,,,,,,,,
III_RichyB,,1,,,,,,,,,
III_Vox,,1,,,,,,,,,
III_oldless,,1,,,,,,,,,
LG_Fludd,,1,4.0,2.0,,2.0,6.0,2.0,2.0,5.0,1.0
LG_Kickstart,,1,2.0,1.0,1.0,2.0,,2.0,2.0,4.0,1.0
LG_Relo,,1,5.0,2.0,,3.0,5.0,,6.0,2.0,
LG_Snakers,,1,5.0,2.0,,2.0,4.0,1.0,3.0,6.0,2.0
NAVI_Mell,,1,7.0,2.0,,5.0,3.0,,6.0,9.0,6.0
NAVI_alya,,1,4.0,2.0,,3.0,7.0,,6.0,3.0,6.0
NAVI_ubah,1.0,1,9.0,2.0,,1.0,9.0,,10.0,5.0,2.0
NAVI_xmpl,,1,5.0,2.0,,3.0,6.0,,6.0,5.0,3.0
NH_HSmm,1.0,1,3.0,1.0,1.0,3.0,7.0,,8.0,7.0,6.0
NH_MMing,,1,5.0,2.0,,3.0,7.0,2.0,3.0,7.0,3.0
NH_Nannnnn,,1,3.0,1.0,,1.0,4.0,1.0,3.0,2.0,4.0
NH_ZpYan1,1.0,1,3.0,1.0,,1.0,7.0,1.0,3.0,2.0,4.0
PLM_BORBO4Tz,1.0,1,4.0,2.0,,,5.0,1.0,2.0,2.0,1.0
PLM_Flukky,,1,3.0,2.0,,,3.0,1.0,6.0,2.0,1.0
PLM_ThanawatTH,,1,5.0,1.0,,2.0,2.0,3.0,2.0,3.0,1.0
PLM_Thunderz,,1,5.0,1.0,,4.0,3.0,3.0,3.0,3.0,2.0
PTG_Adder,,1,,1.0,,,2.0,2.0,,2.0,4.0
PTG_Akad,1.0,1,5.0,2.0,,3.0,1.0,1.0,15.0,2.0,3.0
PTG_Hikari,,1,6.0,1.0,,4.0,8.0,1.0,5.0,3.0,2.0
PTG_WICKED,,1,5.0,7.0,,3.0,2.0,1.0,5.0,3.0,2.0
PeRo_AZ,,1,4.0,3.0,,2.0,5.0,1.0,2.0,4.0,
PeRo_Aixleft,,1,5.0,2.0,,2.0,6.0,2.0,3.0,2.0,5.0
PeRo_Cui71,1.0,1,4.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0
PeRo_Myl,,1,3.0,3.0,,2.0,5.0,,7.0,3.0,4.0
SQ_M1ME,,1,6.0,3.0,1.0,4.0,2.0,,4.0,2.0,5.0
SQ_Shrimzy,,1,4.0,3.0,1.0,1.0,6.0,,7.0,3.0,1.0
SQ_TGLTN,2.0,1,3.0,1.0,1.0,6.0,3.0,2.0,4.0,6.0,6.0
SQ_hwinn,,1,6.0,1.0,,1.0,7.0,,3.0,4.0,2.0
SST_Feaven,,1,4.0,1.0,,2.0,3.0,,4.0,2.0,2.0
SST_Imhac,,1,8.0,1.0,1.0,,1.0,2.0,,3.0,2.0
SST_Runax,1.0,1,3.0,1.0,,4.0,3.0,,3.0,1.0,
SST_Tae9,1.0,1,3.0,2.0,,4.0,1.0,1.0,1.0,10.0,3.0
STK_PurdyKurty,1.0,1,2.0,1.0,,2.0,5.0,1.0,3.0,2.0,8.0
STK_Vegas,,1,8.0,2.0,,1.0,9.0,1.0,6.0,3.0,1.0
STK_alow,,1,6.0,1.0,,1.0,8.0,1.0,5.0,1.0,
STK_penta,,1,4.0,3.0,,2.0,9.0,,4.0,2.0,2.0
TWIS_BatulinS,1.0,1,4.0,4.0,1.0,4.0,5.0,2.0,3.0,4.0,4.0
TWIS_Lu,,1,3.0,6.0,,3.0,1.0,2.0,4.0,2.0,2.0
TWIS_Perfect1ks,,1,5.0,3.0,,1.0,5.0,1.0,7.0,,2.0
TWIS_TheTab,,1,,,,,,,,,
TWIS_spyrro,,1,6.0,2.0,1.0,1.0,3.0,,5.0,4.0,4.0
Tian_77owo,,1,,,,,,,,,
Tian_LinShu,,1,,,,,,,,,
Tian_LongSkr,,1,,,,,,,,,
Tian_PaoPao,,1,,,,,,,,,
17_Lilghost,,2,,,,,,,,,
17_SuJiu,,2,,,,,,,,,
17_Xbei,,2,,,,,,,,,
17_xwudd,,2,,,,,,,,,
4AM_CRAZY112,1.0,2,6.0,1.0,1.0,1.0,9.0,3.0,10.0,3.0,4.0
4AM_Summer,,2,7.0,2.0,,4.0,4.0,1.0,5.0,3.0,2.0
4AM_WangZai,,2,,,,,,,,,
4AM_Xiaohaixxxx,1.0,2,6.0,1.0,,1.0,7.0,,9.0,6.0,3.0
4AM_xxxLu,1.0,2,4.0,2.0,,3.0,6.0,1.0,4.0,2.0,1.0
ACE_ItzzChrizZ,,2,4.0,1.0,,,2.0,1.0,4.0,2.0,2.0
ACE_KILYAKAi,,2,4.0,1.0,,3.0,6.0,1.0,4.0,1.0,1.0
ACE_Myca,1.0,2,4.0,5.0,,2.0,1.0,2.0,9.0,2.0,1.0
ACE_braex,,2,5.0,1.0,,4.0,2.0,1.0,2.0,,3.0
CES_HaiSaki,,2,4.0,2.0,,2.0,4.0,,7.0,3.0,6.0
CES_Himass,,2,6.0,1.0,,3.0,3.0,,9.0,2.0,4.0
CES_Taikonn,,2,4.0,2.0,,3.0,3.0,2.0,5.0,,1.0
CES_YmCud,,2,4.0,1.0,,3.0,6.0,2.0,4.0,1.0,7.0
DAY_Belmoth,,2,,,,,,,,,
DAY_Flash,,2,,,,,,,,,
DAY_Nourinz,,2,,,,,,,,,
DAY_PuuChiwz,,2,,,,,,,,,
DNW_Inonix,,2,,,,,,,,,
DNW_Loki,,2,,,,,,,,,
DNW_Salute,,2,,,,,,,,,
DNW_seoul,,2,,,,,,,,,
EXO_Akita,,2,5.0,1.0,,,6.0,1.0,7.0,1.0,2.0
EXO_Hikerman,,2,,,,,,,,,
EXO_Rain,,2,5.0,1.0,,1.0,5.0,,3.0,,3.0
EXO_empt,,2,4.0,1.0,,1.0,7.0,1.0,4.0,3.0,3.0
EXO_kang,,2,4.0,1.0,,4.0,2.0,1.0,7.0,1.0,2.0
FaZe_Fexx,,2,,,,,,,,,
FaZe_Gustav,,2,,,,,,,,,
FaZe_curexi,,2,,,,,,,,,
FaZe_jeemzz,,2,,,,,,,,,
GBL_Glaz,,2,4.0,1.0,,1.0,3.0,1.0,7.0,2.0,1.0
GBL_Gyumin,,2,4.0,2.0,1.0,2.0,3.0,1.0,5.0,1.0,2.0
GBL_Heaven,,2,4.0,2.0,,3.0,5.0,2.0,2.0,3.0,3.0
GBL_Tosi,,2,4.0,2.0,1.0,1.0,4.0,,6.0,3.0,1.0
GEN_DG98,3.0,2,5.0,5.0,,2.0,3.0,,1.0,,1.0
GEN_Foxy,,2,3.0,1.0,,,6.0,3.0,6.0,3.0,4.0
GEN_Pio,,2,5.0,1.0,1.0,1.0,4.0,1.0,2.0,,1.0
GEN_taemin,,2,4.0,2.0,,3.0,5.0,1.0,1.0,2.0,3.0
GEX_Leo,,2,,,,,,,,,
GEX_Savior,,2,,,,,,,,,
GEX_Yuri,,2,,,,,,,,,
GEX_ZhenNan,,2,,,,,,,,,
HOWL_Apocalyp,,2,,,,,,,,,
HOWL_RuerN,,2,,,,,,,,,
HOWL_TheMad,,2,,,,,,,,,
HOWL_scof1eld,,2,,,,,,,,,
III_Adam,,2,,,,,,,,,
III_RichyB,,2,,,,,,,,,
III_Vox,,2,,,,,,,,,
III_oldless,,2,,,,,,,,,
LG_Fludd,,2,4.0,2.0,,1.0,5.0,,4.0,3.0,
LG_Kickstart,1.0,2,3.0,2.0,,2.0,3.0,3.0,5.0,6.0,3.0
LG_Relo,,2,5.0,2.0,,,7.0,1.0,8.0,2.0,4.0
LG_Snakers,1.0,2,4.0,3.0,,6.0,9.0,,4.0,,6.0
NAVI_Mell,5.0,2,11.0,1.0,1.0,,2.0,2.0,9.0,5.0,3.0
NAVI_alya,2.0,2,13.0,6.0,,5.0,7.0,2.0,5.0,3.0,5.0
NAVI_ubah,,2,9.0,3.0,,3.0,9.0,3.0,13.0,5.0,9.0
NAVI_xmpl,,2,13.0,5.0,,4.0,5.0,2.0,8.0,4.0,3.0
NH_HSmm,,2,4.0,1.0,,1.0,5.0,2.0,7.0,1.0,3.0
NH_MMing,,2,4.0,1.0,,1.0,6.0,,5.0,1.0,3.0
NH_Nannnnn,,2,4.0,1.0,,2.0,8.0,,3.0,1.0,3.0
NH_ZpYan1,,2,4.0,1.0,,2.0,3.0,2.0,7.0,4.0,5.0
PLM_BORBO4Tz,,2,4.0,2.0,,1.0,4.0,1.0,2.0,2.0,3.0
PLM_Flukky,,2,4.0,2.0,,2.0,5.0,2.0,4.0,,
PLM_ThanawatTH,,2,5.0,2.0,,3.0,3.0,,7.0,,3.0
PLM_Thunderz,,2,7.0,1.0,,1.0,7.0,1.0,5.0,2.0,4.0
PTG_Adder,,2,,,,,,,,,
PTG_Akad,,2,3.0,,,,3.0,2.0,1.0,,1.0
PTG_Hikari,,2,3.0,,,1.0,,1.0,1.0,,
PTG_WICKED,,2,1.0,,,,1.0,1.0,,,1.0
PeRo_AZ,,2,6.0,2.0,,2.0,5.0,1.0,3.0,1.0,5.0
PeRo_Aixleft,3.0,2,3.0,3.0,,1.0,2.0,,5.0,1.0,2.0
PeRo_Cui71,,2,,1.0,,,,1.0,,1.0,
PeRo_Myl,,2,4.0,1.0,,,1.0,3.0,1.0,1.0,1.0
SQ_M1ME,,2,7.0,2.0,,6.0,3.0,1.0,7.0,1.0,2.0
SQ_Shrimzy,1.0,2,4.0,2.0,,2.0,4.0,1.0,8.0,4.0,3.0
SQ_TGLTN,,2,3.0,1.0,,3.0,4.0,,6.0,1.0,2.0
SQ_hwinn,1.0,2,3.0,4.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0
SST_Feaven,1.0,2,4.0,,1.0,1.0,4.0,,2.0,,3.0
SST_Imhac,,2,4.0,,,3.0,1.0,1.0,1.0,3.0,2.0
SST_Runax,,2,4.0,2.0,,1.0,4.0,,3.0,3.0,2.0
SST_Tae9,,2,6.0,2.0,,4.0,5.0,1.0,8.0,3.0,2.0
STK_PurdyKurty,2.0,2,3.0,1.0,,3.0,4.0,,4.0,2.0,4.0
STK_Vegas,,2,5.0,3.0,,2.0,3.0,,5.0,2.0,7.0
STK_alow,,2,5.0,1.0,,2.0,1.0,1.0,3.0,2.0,3.0
STK_penta,,2,5.0,2.0,,4.0,4.0,,7.0,2.0,3.0
TWIS_BatulinS,,2,8.0,,,,1.0,,2.0,2.0,1.0
TWIS_Lu,,2,,,,,,,,,
TWIS_Perfect1ks,,2,4.0,4.0,,1.0,2.0,1.0,,,
TWIS_TheTab,,2,,,,,,,,,
TWIS_spyrro,,2,3.0,6.0,,,2.0,2.0,5.0,3.0,2.0
Tian_77owo,,2,,,,,,,,,
Tian_LinShu,,2,,,,,,,,,
Tian_LongSkr,,2,,,,,,,,,
Tian_PaoPao,,2,,,,,,,,,
17_Lilghost,,3,,,,,,,,,
17_SuJiu,,3,,,,,,,,,
17_Xbei,,3,,,,,,,,,
17_xwudd,,3,,,,,,,,,
4AM_CRAZY112,,3,3.0,1.0,1.0,3.0,5.0,1.0,6.0,4.0,3.0
4AM_Summer,1.0,3,3.0,,1.0,3.0,1.0,2.0,,3.0,4.0
4AM_WangZai,,3,,,,,,,,,
4AM_Xiaohaixxxx,,3,4.0,1.0,,5.0,5.0,1.0,3.0,4.0,2.0
4AM_xxxLu,1.0,3,4.0,1.0,,2.0,3.0,,1.0,1.0,2.0
ACE_ItzzChrizZ,,3,4.0,1.0,,2.0,2.0,1.0,3.0,2.0,5.0
ACE_KILYAKAi,,3,5.0,3.0,,4.0,6.0,,9.0,6.0,1.0
ACE_Myca,1.0,3,7.0,6.0,,1.0,11.0,2.0,7.0,4.0,8.0
ACE_braex,,3,3.0,1.0,,1.0,4.0,2.0,5.0,2.0,3.0
CES_HaiSaki,,3,4.0,1.0,,,3.0,2.0,6.0,1.0,1.0
CES_Himass,,3,4.0,1.0,,2.0,5.0,1.0,2.0,4.0,1.0
CES_Taikonn,,3,4.0,2.0,,,6.0,,3.0,1.0,
CES_YmCud,1.0,3,4.0,1.0,1.0,2.0,1.0,2.0,6.0,2.0,
DAY_Belmoth,,3,,,,,,,,,
DAY_Flash,,3,,,,,,,,,
DAY_Nourinz,,3,,,,,,,,,
DAY_PuuChiwz,,3,,,,,,,,,
DNW_Inonix,,3,,,,,,,,,
DNW_Loki,,3,,,,,,,,,
DNW_Salute,,3,,,,,,,,,
DNW_seoul,,3,,,,,,,,,
EXO_Akita,1.0,3,4.0,1.0,,2.0,3.0,,7.0,3.0,3.0
EXO_Hikerman,,3,,,,,,,,,
EXO_Rain,,3,4.0,1.0,,2.0,5.0,2.0,7.0,3.0,3.0
EXO_empt,2.0,3,7.0,1.0,1.0,2.0,8.0,1.0,4.0,4.0,4.0
EXO_kang,,3,5.0,1.0,,1.0,5.0,2.0,5.0,8.0,2.0
FaZe_Fexx,,3,,,,,,,,,
FaZe_Gustav,,3,,,,,,,,,
FaZe_curexi,,3,,,,,,,,,
FaZe_jeemzz,,3,,,,,,,,,
GBL_Glaz,,3,5.0,1.0,,2.0,7.0,1.0,5.0,1.0,
GBL_Gyumin,,3,6.0,4.0,,2.0,2.0,1.0,5.0,11.0,1.0
GBL_Heaven,,3,4.0,2.0,,2.0,5.0,,6.0,2.0,1.0
GBL_Tosi,,3,4.0,3.0,,1.0,5.0,4.0,3.0,6.0,8.0
GEN_DG98,1.0,3,4.0,4.0,,3.0,3.0,2.0,4.0,6.0,4.0
GEN_Foxy,,3,5.0,3.0,1.0,3.0,1.0,2.0,4.0,4.0,
GEN_Pio,2.0,3,5.0,2.0,1.0,6.0,2.0,4.0,2.0,7.0,5.0
GEN_taemin,,3,5.0,2.0,,2.0,5.0,1.0,7.0,5.0,4.0
GEX_Leo,,3,,,,,,,,,
GEX_Savior,,3,,,,,,,,,
GEX_Yuri,,3,,,,,,,,,
GEX_ZhenNan,,3,,,,,,,,,
HOWL_Apocalyp,,3,,,,,,,,,
HOWL_RuerN,,3,,,,,,,,,
HOWL_TheMad,,3,,,,,,,,,
HOWL_scof1eld,,3,,,,,,,,,
III_Adam,,3,,,,,,,,,
III_RichyB,,3,,,,,,,,,
III_Vox,,3,,,,,,,,,
III_oldless,,3,,,,,,,,,
LG_Fludd,,3,4.0,2.0,,2.0,5.0,,5.0,4.0,1.0
LG_Kickstart,,3,4.0,1.0,,1.0,3.0,,5.0,3.0,2.0
LG_Relo,,3,6.0,1.0,,,6.0,1.0,4.0,3.0,1.0
LG_Snakers,1.0,3,4.0,5.0,1.0,2.0,3.0,2.0,3.0,6.0,4.0
NAVI_Mell,1.0,3,7.0,3.0,,1.0,4.0,1.0,5.0,,1.0
NAVI_alya,,3,5.0,3.0,,1.0,8.0,,7.0,6.0,1.0
NAVI_ubah,,3,6.0,3.0,1.0,,7.0,4.0,5.0,5.0,1.0
NAVI_xmpl,,3,4.0,2.0,,3.0,5.0,1.0,3.0,2.0,2.0
NH_HSmm,,3,5.0,1.0,1.0,3.0,3.0,1.0,5.0,4.0,3.0
NH_MMing,,3,4.0,1.0,,2.0,2.0,1.0,3.0,5.0,3.0
NH_Nannnnn,,3,3.0,1.0,,3.0,7.0,1.0,5.0,2.0,3.0
NH_ZpYan1,,3,6.0,1.0,1.0,2.0,10.0,1.0,7.0,5.0,4.0
PLM_BORBO4Tz,,3,4.0,2.0,,3.0,5.0,1.0,9.0,3.0,3.0
PLM_Flukky,1.0,3,5.0,3.0,,2.0,7.0,,5.0,2.0,3.0
PLM_ThanawatTH,1.0,3,3.0,1.0,1.0,5.0,5.0,2.0,3.0,4.0,2.0
PLM_Thunderz,,3,4.0,2.0,,4.0,1.0,,5.0,6.0,3.0
PTG_Adder,,3,6.0,1.0,,5.0,1.0,,7.0,6.0,
PTG_Akad,1.0,3,8.0,2.0,,6.0,1.0,2.0,2.0,2.0,3.0
PTG_Hikari,1.0,3,5.0,1.0,,3.0,2.0,,2.0,2.0,1.0
PTG_WICKED,,3,8.0,2.0,,1.0,3.0,,2.0,7.0,
PeRo_AZ,,3,3.0,5.0,,,3.0,2.0,3.0,5.0,2.0
PeRo_Aixleft,2.0,3,1.0,3.0,,,4.0,4.0,3.0,4.0,3.0
PeRo_Cui71,,3,3.0,3.0,,,1.0,,1.0,2.0,
PeRo_Myl,,3,2.0,3.0,1.0,2.0,3.0,,3.0,1.0,3.0
SQ_M1ME,,3,6.0,2.0,,2.0,5.0,1.0,3.0,3.0,3.0
SQ_Shrimzy,1.0,3,9.0,2.0,,4.0,4.0,,5.0,6.0,1.0
SQ_TGLTN,,3,5.0,3.0,,1.0,5.0,2.0,2.0,3.0,3.0
SQ_hwinn,,3,8.0,2.0,1.0,3.0,6.0,,3.0,7.0,4.0
SST_Feaven,1.0,3,7.0,1.0,,,8.0,1.0,2.0,3.0,2.0
SST_Imhac,,3,4.0,,,2.0,5.0,,5.0,2.0,2.0
SST_Runax,1.0,3,5.0,2.0,,4.0,3.0,,6.0,,1.0
SST_Tae9,1.0,3,4.0,1.0,,3.0,2.0,,6.0,2.0,3.0
STK_PurdyKurty,2.0,3,6.0,2.0,,2.0,5.0,1.0,3.0,5.0,2.0
STK_Vegas,,3,5.0,1.0,,4.0,4.0,1.0,10.0,1.0,9.0
STK_alow,1.0,3,4.0,4.0,,1.0,4.0,,4.0,2.0,1.0
STK_penta,,3,5.0,2.0,,2.0,2.0,1.0,6.0,1.0,2.0
TWIS_BatulinS,2.0,3,7.0,3.0,,3.0,6.0,1.0,7.0,6.0,4.0
TWIS_Lu,,3,5.0,1.0,,4.0,1.0,2.0,7.0,3.0,7.0
TWIS_Perfect1ks,,3,5.0,1.0,,2.0,4.0,,2.0,,2.0
TWIS_TheTab,,3,,,,,,,,,
TWIS_spyrro,1.0,3,6.0,5.0,,3.0,5.0,,8.0,9.0,4.0
Tian_77owo,,3,,,,,,,,,
Tian_LinShu,,3,,,,,,,,,
Tian_LongSkr,,3,,,,,,,,,
Tian_PaoPao,,3,,,,,,,,,
17_Lilghost,,4,,,,,,,,,
17_SuJiu,,4,,,,,,,,,
17_Xbei,,4,,,,,,,,,
17_xwudd,,4,,,,,,,,,
4AM_CRAZY112,,4,6.0,2.0,1.0,2.0,8.0,1.0,4.0,1.0,6.0
4AM_Summer,1.0,4,4.0,2.0,,2.0,8.0,,4.0,3.0,4.0
4AM_WangZai,,4,,,,,,,,,
4AM_Xiaohaixxxx,,4,4.0,1.0,,2.0,6.0,1.0,1.0,3.0,4.0
4AM_xxxLu,1.0,4,4.0,1.0,,1.0,6.0,1.0,3.0,1.0,4.0
ACE_ItzzChrizZ,1.0,4,3.0,2.0,,1.0,6.0,2.0,6.0,2.0,3.0
ACE_KILYAKAi,,4,5.0,2.0,,,6.0,,6.0,,3.0
ACE_Myca,,4,3.0,2.0,,,6.0,1.0,5.0,,3.0
ACE_braex,,4,7.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,
CES_HaiSaki,,4,6.0,1.0,,2.0,6.0,2.0,8.0,1.0,2.0
CES_Himass,,4,4.0,1.0,,2.0,4.0,2.0,3.0,1.0,2.0
CES_Taikonn,1.0,4,5.0,2.0,,2.0,7.0,,6.0,2.0,4.0
CES_YmCud,,4,4.0,,,1.0,3.0,,2.0,1.0,1.0
DAY_Belmoth,,4,,,,,,,,,
DAY_Flash,,4,,,,,,,,,
DAY_Nourinz,,4,,,,,,,,,
DAY_PuuChiwz,,4,,,,,,,,,
DNW_Inonix,,4,,,,,,,,,
DNW_Loki,,4,,,,,,,,,
DNW_Salute,,4,,,,,,,,,
DNW_seoul,,4,,,,,,,,,
EXO_Akita,1.0,4,3.0,4.0,,2.0,4.0,1.0,1.0,2.0,
EXO_Hikerman,,4,,,,,,,,,
EXO_Rain,,4,3.0,2.0,,2.0,1.0,,7.0,1.0,3.0
EXO_empt,,4,6.0,3.0,,3.0,6.0,6.0,6.0,4.0,3.0
EXO_kang,,4,4.0,1.0,,3.0,5.0,3.0,6.0,,1.0
FaZe_Fexx,,4,,,,,,,,,
FaZe_Gustav,,4,,,,,,,,,
FaZe_curexi,,4,,,,,,,,,
FaZe_jeemzz,,4,,,,,,,,,
GBL_Glaz,,4,4.0,1.0,,,6.0,,4.0,,
GBL_Gyumin,1.0,4,3.0,2.0,,3.0,1.0,,4.0,3.0,1.0
GBL_Heaven,,4,3.0,1.0,,,11.0,,7.0,1.0,1.0
GBL_Tosi,1.0,4,4.0,1.0,,2.0,4.0,2.0,5.0,,1.0
GEN_DG98,,4,4.0,4.0,,2.0,5.0,2.0,2.0,3.0,2.0
GEN_Foxy,,4,6.0,1.0,,1.0,9.0,,,,1.0
GEN_Pio,,4,4.0,1.0,1.0,1.0,9.0,2.0,4.0,2.0,
GEN_taemin,,4,2.0,1.0,,2.0,8.0,,1.0,1.0,1.0
GEX_Leo,,4,,,,,,,,,
GEX_Savior,,4,,,,,,,,,
GEX_Yuri,,4,,,,,,,,,
GEX_ZhenNan,,4,,,,,,,,,
HOWL_Apocalyp,,4,,,,,,,,,
HOWL_RuerN,,4,,,,,,,,,
HOWL_TheMad,,4,,,,,,,,,
HOWL_scof1eld,,4,,,,,,,,,
III_Adam,,4,,,,,,,,,
III_RichyB,,4,,,,,,,,,
III_Vox,,4,,,,,,,,,
III_oldless,,4,,,,,,,,,
LG_Fludd,,4,4.0,2.0,,2.0,3.0,1.0,1.0,2.0,2.0
LG_Kickstart,,4,4.0,4.0,,2.0,3.0,,8.0,3.0,2.0
LG_Relo,,4,4.0,2.0,,1.0,,1.0,2.0,,3.0
LG_Snakers,,4,4.0,4.0,,1.0,6.0,,2.0,2.0,
NAVI_Mell,,4,,,,,,,,,
NAVI_alya,,4,1.0,,,,,1.0,,,
NAVI_ubah,,4,5.0,,,,1.0,,1.0,,
NAVI_xmpl,,4,,,,,1.0,,2.0,,1.0
NH_HSmm,,4,5.0,1.0,1.0,4.0,2.0,,8.0,2.0,6.0
NH_MMing,,4,6.0,1.0,,1.0,6.0,,3.0,1.0,6.0
