index,type,id,createdAt,telemetry_url
0,match,5f368132-476c-44c3-8b4a-2889696173e9,2023-04-27T10:03:24Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/27/10/36/6f1aa160-e4e7-11ed-8150-7af5152c4266-telemetry.json
1,match,c6227264-3428-41cb-b537-60885924280a,2023-04-27T10:44:39Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/27/11/12/5eab14ab-e4ec-11ed-8150-7af5152c4266-telemetry.json
2,match,78019ce1-1a10-48d2-a9cb-58fabbf385dd,2023-04-27T11:32:04Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/27/12/06/e322c395-e4f3-11ed-8150-7af5152c4266-telemetry.json
3,match,fd0e73bf-4513-4378-adc2-112e4129d8b2,2023-04-27T12:13:39Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/27/12/44/33c4c568-e4f9-11ed-8150-7af5152c4266-telemetry.json
4,match,86ff4c5a-3a44-4e7f-afbe-edf95f206583,2023-04-27T13:01:54Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/27/13/34/46fa81c0-e500-11ed-8150-7af5152c4266-telemetry.json
5,match,631dbfe6-7b07-4ccc-b9a2-295c3a1d239d,2023-04-27T13:42:30Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/27/14/17/2ce2b73f-e506-11ed-8150-7af5152c4266-telemetry.json
6,match,20550037-5af6-48c4-bb11-1ca47cdd161d,2023-04-28T10:00:27Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/28/10/32/09bf6455-e5b0-11ed-8150-7af5152c4266-telemetry.json
7,match,be41edc0-44e5-448d-bbf6-fd4269bf4868,2023-04-28T10:42:14Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/28/11/14/c9393fa8-e5b5-11ed-8150-7af5152c4266-telemetry.json
8,match,2ad232ba-c4b9-4411-afff-b1cd252800e2,2023-04-28T11:42:21Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/28/12/13/110504bb-e5be-11ed-8150-7af5152c4266-telemetry.json
9,match,d6c8cc18-6ede-40fc-b226-32c345484d0f,2023-04-28T12:21:27Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/28/12/55/e63bef0a-e5c3-11ed-8150-7af5152c4266-telemetry.json
10,match,708c49d3-a326-45c4-82c0-03942de54fea,2023-04-28T13:12:45Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/28/13/44/db7ff27e-e5ca-11ed-8150-7af5152c4266-telemetry.json
11,match,8ddafb5c-e2c2-497a-a57f-baa7ff68e088,2023-04-28T13:53:52Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/28/14/26/99520d2a-e5d0-11ed-8150-7af5152c4266-telemetry.json
12,match,f868e8d8-5a5c-4c4c-8fc9-2dc29cae7c31,2023-04-29T09:57:11Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/29/10/28/9286ca03-e678-11ed-8150-7af5152c4266-telemetry.json
13,match,703cca08-95d3-4556-aca6-a4ad32101532,2023-04-29T10:36:34Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/29/11/09/3fe27b28-e67e-11ed-8150-7af5152c4266-telemetry.json
14,match,fe519e0f-fe73-45ae-8640-6ebc152507c4,2023-04-29T11:25:33Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/29/11/56/cf70a212-e684-11ed-8150-7af5152c4266-telemetry.json
15,match,d73d2931-ad89-45f0-8eb6-66c3ed51e689,2023-04-29T12:03:40Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/29/12/33/101771c6-e68a-11ed-8150-7af5152c4266-telemetry.json
16,match,b22ac458-92b0-46cc-884d-b6997c70efee,2023-04-29T12:55:31Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/29/13/29/d374eef5-e691-11ed-8150-7af5152c4266-telemetry.json
17,match,eab25963-4deb-42d9-9523-0f6460693be1,2023-04-29T13:39:03Z,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2023/04/29/14/12/e579f5a0-e697-11ed-8150-7af5152c4266-telemetry.json